Abstract,Acknowledgement,Address,AssociatedDIFs,Association,Attribute Definition,Attribute Label,Author / Originator,Bounding Box,Cited Resource Identifier,Cited Resource Title,City,Contact Instructions,Country,Data Quality Scope,DataType,DimensionsName,Distribution Contact,Easternmost Longitude,Email,End Time,Enumerated Domain Value Definition Source,Fax,Feature Catalogue Citation,First Name,Geographic Description,Hours of Service,Instrument,Instrument Keyword,Instrument Keyword Vocabulary,Instrument Short Name,Instrument Type,Keyword,Keyword Type,Keyword Vocabulary,Keyword Vocabulary Citation,Last Name,Metadata Access Constraints,Metadata Association,Metadata Contact,Metadata Dates,Metadata Identifier,Metadata Language,Metadata Modified Date,Metadata Standard Citation,Metadata Standard Version,Middle Name,Name,Naming Authority,Northernmost Latitude,Online Resource,Online Resource Description,Online Resource Name/Title,Organization Name,Other Citation Details,Paleo Temporal Coverage,Party,Phone,Place Keyword,Place Keyword Vocabulary,Platform Short Name,Position Name,Postal_Code,Process Step,Process Step Description,Product Link,Project Name,Province or State,Publication Date,Publication Information,Range Domain Units,Related Resource Citation,Related Resource Identifier,Reprocessing Plan Note,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Identifier,Resource Language,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Type,Resource Update Frequency,Resource Use Constraints,Responsibility,Rights,Role,Southernmost Latitude,Spatial Extent,Standard Name Vocabulary,Start Time,Temporal Extent,Theme Keyword,Topic Category,URL,Units,Unknown,VariableType,Web Page,Westernmost Longitude
1.0,2.0,5.0,2.0,2.0,248.0,249.0,1.0,1.0,0.0,14.0,5.0,4.0,5.0,1.0,25.0,249.0,1.0,1.0,5.0,0.0,5.0,4.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,105.0,5.0,5.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,249.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,29.0,2.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,5.0,0.0,1.0,91.0,1.0,1.0,249.0,1992.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,29.0,29.0,1.0,1.0,0.0,14.0,5.0,4.0,5.0,1.0,22.0,29.0,1.0,1.0,5.0,0.0,5.0,4.0,2.0,3.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,37.0,5.0,5.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,29.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,14.0,2.0,7.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,5.0,0.0,1.0,26.0,1.0,1.0,29.0,605.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,169.0,169.0,1.0,1.0,0.0,14.0,5.0,4.0,5.0,1.0,27.0,169.0,1.0,1.0,5.0,0.0,5.0,4.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,105.0,5.0,5.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,169.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,39.0,2.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,5.0,0.0,1.0,90.0,1.0,1.0,169.0,1523.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,14.0,14.0,1.0,1.0,1.0,16.0,5.0,4.0,5.0,1.0,9.0,14.0,1.0,1.0,5.0,0.0,5.0,4.0,2.0,3.0,1.0,4.0,3.0,3.0,1.0,3.0,3.0,25.0,5.0,5.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,14.0,1.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,9.0,2.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,1.0,7.0,1.0,1.0,5.0,0.0,1.0,17.0,1.0,1.0,14.0,464.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,22.0,22.0,1.0,1.0,0.0,14.0,5.0,4.0,5.0,1.0,18.0,22.0,1.0,1.0,5.0,0.0,5.0,4.0,2.0,3.0,1.0,4.0,3.0,3.0,1.0,3.0,3.0,32.0,5.0,5.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,22.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,9.0,2.0,6.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,5.0,0.0,1.0,21.0,1.0,1.0,22.0,537.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,17.0,17.0,1.0,1.0,0.0,13.0,5.0,4.0,5.0,1.0,16.0,17.0,1.0,1.0,5.0,0.0,4.0,4.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,27.0,4.0,4.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,17.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,9.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,4.0,0.0,1.0,17.0,1.0,1.0,17.0,464.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,174.0,174.0,1.0,1.0,0.0,14.0,5.0,4.0,5.0,1.0,24.0,174.0,1.0,1.0,5.0,0.0,5.0,4.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,100.0,5.0,5.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,174.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,32.0,2.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,5.0,0.0,1.0,91.0,1.0,1.0,174.0,1535.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,15.0,15.0,1.0,1.0,0.0,14.0,5.0,4.0,5.0,1.0,14.0,15.0,1.0,1.0,5.0,0.0,5.0,4.0,2.0,3.0,1.0,4.0,3.0,3.0,1.0,3.0,3.0,25.0,5.0,5.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,15.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,6.0,2.0,6.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,5.0,0.0,1.0,17.0,1.0,1.0,15.0,472.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,12.0,12.0,1.0,1.0,0.0,14.0,5.0,4.0,5.0,1.0,11.0,12.0,1.0,1.0,5.0,0.0,5.0,4.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,15.0,5.0,5.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,12.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,6.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,5.0,0.0,1.0,12.0,1.0,1.0,12.0,417.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,12.0,12.0,1.0,1.0,0.0,13.0,5.0,4.0,5.0,1.0,11.0,12.0,1.0,1.0,5.0,0.0,4.0,4.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,4.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,12.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,6.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,4.0,0.0,1.0,11.0,1.0,1.0,12.0,404.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,12.0,12.0,1.0,1.0,0.0,14.0,5.0,4.0,5.0,1.0,11.0,12.0,1.0,1.0,5.0,0.0,5.0,4.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,15.0,5.0,5.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,12.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,6.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,5.0,0.0,1.0,12.0,1.0,1.0,12.0,417.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,12.0,12.0,1.0,1.0,0.0,13.0,5.0,4.0,5.0,1.0,11.0,12.0,1.0,1.0,5.0,0.0,4.0,4.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,4.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,12.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,6.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,4.0,0.0,1.0,11.0,1.0,1.0,12.0,404.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,269.0,270.0,1.0,0.0,0.0,14.0,5.0,4.0,5.0,1.0,15.0,270.0,1.0,0.0,5.0,0.0,5.0,4.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,274.0,5.0,5.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,270.0,0.0,0.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,22.0,2.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,0.0,0.0,5.0,0.0,1.0,268.0,1.0,1.0,270.0,2246.0,1.0,7.0,0.0
1.0,1.0,5.0,2.0,2.0,40.0,40.0,1.0,1.0,0.0,15.0,5.0,4.0,5.0,1.0,30.0,40.0,1.0,1.0,5.0,0.0,5.0,4.0,2.0,4.0,1.0,4.0,3.0,3.0,1.0,3.0,3.0,55.0,5.0,5.0,5.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,40.0,0.0,1.0,5.0,4.0,2.0,8.0,2.0,0.0,21.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,14.0,2.0,7.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,1.0,7.0,1.0,1.0,5.0,0.0,1.0,37.0,1.0,1.0,40.0,725.0,1.0,8.0,1.0
1.0,2.0,5.0,2.0,2.0,5.0,5.0,1.0,1.0,0.0,14.0,5.0,4.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,0.0,5.0,4.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,8.0,5.0,5.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,5.0,0.0,1.0,6.0,1.0,1.0,5.0,344.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,27.0,27.0,1.0,1.0,0.0,14.0,5.0,4.0,5.0,1.0,21.0,27.0,1.0,1.0,5.0,0.0,5.0,4.0,2.0,3.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,34.0,5.0,5.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,27.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,13.0,2.0,7.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,5.0,0.0,1.0,25.0,1.0,1.0,27.0,588.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,27.0,27.0,1.0,1.0,0.0,14.0,5.0,4.0,5.0,1.0,21.0,27.0,1.0,1.0,5.0,0.0,5.0,4.0,2.0,3.0,1.0,4.0,6.0,6.0,1.0,6.0,6.0,37.0,5.0,5.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,27.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,13.0,2.0,9.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,5.0,0.0,1.0,27.0,1.0,1.0,27.0,607.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,12.0,12.0,1.0,1.0,0.0,14.0,5.0,4.0,5.0,1.0,11.0,12.0,1.0,1.0,5.0,0.0,5.0,4.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,15.0,5.0,5.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,12.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,6.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,5.0,0.0,1.0,12.0,1.0,1.0,12.0,417.0,1.0,7.0,1.0
1.0,1.0,5.0,2.0,2.0,20.0,20.0,1.0,1.0,0.0,14.0,5.0,4.0,5.0,1.0,17.0,20.0,1.0,1.0,5.0,0.0,5.0,4.0,2.0,3.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,32.0,5.0,5.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,20.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,8.0,2.0,7.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,5.0,0.0,1.0,21.0,1.0,1.0,20.0,525.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,21.0,21.0,1.0,1.0,0.0,14.0,5.0,4.0,5.0,1.0,16.0,21.0,1.0,1.0,5.0,0.0,5.0,4.0,2.0,3.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,31.0,5.0,5.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,21.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,7.0,2.0,7.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,5.0,0.0,1.0,20.0,1.0,1.0,21.0,528.0,1.0,7.0,1.0
