Collection,Record,XPath,Content
CDL,02575-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntorgp/cntper,"Leah Godsey Walker, P.E. - Chief, Division of Drinking Water and Environmental Management"
CDL,02575-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/addrtype,"mailing"
CDL,02575-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/address,"1615 Capitol Avenue"
CDL,02575-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/city,"Sacramento"
CDL,02575-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/state,"CA"
CDL,02575-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/postal,"95815-5015"
CDL,02575-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/country,"USA"
CDL,02575-metadata.xml,/metadata/spdoinfo/indspref,"Public Land Survey System - California S04.0N04.0W08"
CDL,02575-metadata.xml,/metadata/spref/horizsys/geograph/latres,"8.9831528411952133e-009"
CDL,02575-metadata.xml,/metadata/spref/horizsys/geograph/longres,"8.9831528411952133e-009"
CDL,02575-metadata.xml,/metadata/spref/horizsys/geograph/geogunit,"Decimal Degree"
CDL,02575-metadata.xml,/metadata/spref/horizsys/geodetic/horizdn,"D WGS 1984"
CDL,02575-metadata.xml,/metadata/spref/horizsys/geodetic/ellips,"WGS 1984"
CDL,02575-metadata.xml,/metadata/spref/horizsys/geodetic/semiaxis,"6378137.0"
CDL,02575-metadata.xml,/metadata/spref/horizsys/geodetic/denflat,"298.257223563"
CDL,02575-metadata.xml,/metadata/metainfo/metd,"20120328"
CDL,02575-metadata.xml,/metadata/metainfo/metc/cntinfo/cntorgp/cntorg,"Information Center for the Environment http://ice.ucdavis.edu"
CDL,02575-metadata.xml,/metadata/metainfo/metc/cntinfo/cntorgp/cntper,"Rob Coman"
CDL,02575-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/addrtype,"mailing"
CDL,02575-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/address,"University of California, Davis"
CDL,02575-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/address,"One Shields Avenue"
CDL,02575-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/city,"Davis"
CDL,02575-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/state,"CA"
CDL,02575-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/postal,"95616"
CDL,02575-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/country,"USA"
CDL,02575-metadata.xml,/metadata/metainfo/metstdn,"FGDC Content Standard for Digital Geospatial Metadata"
CDL,02575-metadata.xml,/metadata/metainfo/metstdv,"FGDC-STD-001-1998"
CDL,02520-metadata.xml,/metadata/idinfo/citation/citeinfo/origin,"CDPH Sonoma District"
CDL,02520-metadata.xml,/metadata/idinfo/citation/citeinfo/pubdate,"20030521"
CDL,02520-metadata.xml,/metadata/idinfo/citation/citeinfo/title,"DWSAP Assessment for 4910017-015: WINDSOR, TOWN OF / WELL 10"
CDL,02520-metadata.xml,/metadata/idinfo/citation/citeinfo/pubinfo/pubplace,"Sacramento, CA"
CDL,02520-metadata.xml,/metadata/idinfo/citation/citeinfo/pubinfo/publish,"California Department of Public Health"
CDL,02520-metadata.xml,/metadata/idinfo/citation/citeinfo/onlink,"http://www.cdph.ca.gov/certlic/drinkingwater/Pages/DWSAP.aspx"
CDL,02520-metadata.xml,/metadata/idinfo/descript/abstract,"A source water assessment identifies the vulnerability of the drinking water supply to contamination from typical human activities. The assessments are intended to facilitate and provide the basic information necessary for a local community to develop a program to protect the drinking water supply."
CDL,02520-metadata.xml,/metadata/idinfo/descript/purpose,"An assessment includes a delineation of an area around a drinking water source through which contaminants might move and reach that drinking water supply. Included is an inventory list of activities that might lead to the release of microbiological or chemical contaminants within the delineated area. The California Drinking Water Source Assessment and Protection (DWSAP) Program document, (http://www.cdph.ca.gov/certlic/drinkingwater/documents/DWSAPGuidance/DWSAP_document.pdf) describes procedures for conducting drinking water source assessments. It conveys the goals and objectives that CDPH seeks to accomplish with the DWSAP program, along with methods that are technically appropriate and easily understood."
CDL,02520-metadata.xml,/metadata/idinfo/timeperd/timeinfo/sngdate/caldate,"20030521"
CDL,02520-metadata.xml,/metadata/idinfo/timeperd/current,"publication date"
CDL,02520-metadata.xml,/metadata/idinfo/status/progress,"Complete"
CDL,02520-metadata.xml,/metadata/idinfo/status/update,"As needed"
CDL,02520-metadata.xml,/metadata/idinfo/spdom/bounding/westbc,"-122.871917724609"
CDL,02520-metadata.xml,/metadata/idinfo/spdom/bounding/eastbc,"-122.853317260742"
CDL,02520-metadata.xml,/metadata/idinfo/spdom/bounding/northbc,"38.5614051818848"
CDL,02520-metadata.xml,/metadata/idinfo/spdom/bounding/southbc,"38.5468292236328"
CDL,02520-metadata.xml,/metadata/idinfo/keywords/theme/themekt,"ISO 19115 Topic Category"
CDL,02520-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"drinking water"
CDL,02520-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"health"
CDL,02520-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"contaminants"
CDL,02520-metadata.xml,/metadata/idinfo/keywords/place/placekey,"California"
CDL,02520-metadata.xml,/metadata/idinfo/keywords/place/placekey,"Sonoma County"
CDL,02520-metadata.xml,/metadata/idinfo/keywords/place/placekey,"Windsor"
CDL,02520-metadata.xml,/metadata/idinfo/accconst,"None"
CDL,02520-metadata.xml,/metadata/idinfo/useconst,"None"
CDL,02520-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntorgp/cntorg,"California Department of Public Health, CDPH"
CDL,02520-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntorgp/cntper,"Leah Godsey Walker, P.E. - Chief, Division of Drinking Water and Environmental Management"
CDL,02520-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/addrtype,"mailing"
CDL,02520-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/address,"1615 Capitol Avenue"
CDL,02520-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/city,"Sacramento"
CDL,02520-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/state,"CA"
CDL,02520-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/postal,"95815-5015"
CDL,02520-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/country,"USA"
CDL,02520-metadata.xml,/metadata/spdoinfo/indspref,"Public Land Survey System - California M08.0N09.0W09"
CDL,02520-metadata.xml,/metadata/spref/horizsys/geograph/latres,"8.9831528411952133e-009"
CDL,02520-metadata.xml,/metadata/spref/horizsys/geograph/longres,"8.9831528411952133e-009"
CDL,02520-metadata.xml,/metadata/spref/horizsys/geograph/geogunit,"Decimal Degree"
CDL,02520-metadata.xml,/metadata/spref/horizsys/geodetic/horizdn,"D WGS 1984"
CDL,02520-metadata.xml,/metadata/spref/horizsys/geodetic/ellips,"WGS 1984"
CDL,02520-metadata.xml,/metadata/spref/horizsys/geodetic/semiaxis,"6378137.0"
CDL,02520-metadata.xml,/metadata/spref/horizsys/geodetic/denflat,"298.257223563"
CDL,02520-metadata.xml,/metadata/metainfo/metd,"20120328"
CDL,02520-metadata.xml,/metadata/metainfo/metc/cntinfo/cntorgp/cntorg,"Information Center for the Environment http://ice.ucdavis.edu"
CDL,02520-metadata.xml,/metadata/metainfo/metc/cntinfo/cntorgp/cntper,"Rob Coman"
CDL,02520-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/addrtype,"mailing"
CDL,02520-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/address,"University of California, Davis"
CDL,02520-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/address,"One Shields Avenue"
CDL,02520-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/city,"Davis"
CDL,02520-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/state,"CA"
CDL,02520-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/postal,"95616"
CDL,02520-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/country,"USA"
CDL,02520-metadata.xml,/metadata/metainfo/metstdn,"FGDC Content Standard for Digital Geospatial Metadata"
CDL,02520-metadata.xml,/metadata/metainfo/metstdv,"FGDC-STD-001-1998"
CDL,02572-metadata.xml,/metadata/idinfo/citation/citeinfo/origin,"CDPH Valley District"
CDL,02572-metadata.xml,/metadata/idinfo/citation/citeinfo/pubdate,"20020402"
CDL,02572-metadata.xml,/metadata/idinfo/citation/citeinfo/title,"DWSAP Assessment for 1100439-001: THE PARKWAY RV RESORT / WELL 01"
CDL,02572-metadata.xml,/metadata/idinfo/citation/citeinfo/pubinfo/pubplace,"Sacramento, CA"
CDL,02572-metadata.xml,/metadata/idinfo/citation/citeinfo/pubinfo/publish,"California Department of Public Health"
CDL,02572-metadata.xml,/metadata/idinfo/citation/citeinfo/onlink,"http://www.cdph.ca.gov/certlic/drinkingwater/Pages/DWSAP.aspx"
CDL,02572-metadata.xml,/metadata/idinfo/descript/abstract,"A source water assessment identifies the vulnerability of the drinking water supply to contamination from typical human activities. The assessments are intended to facilitate and provide the basic information necessary for a local community to develop a program to protect the drinking water supply."
CDL,02572-metadata.xml,/metadata/idinfo/descript/purpose,"An assessment includes a delineation of an area around a drinking water source through which contaminants might move and reach that drinking water supply. Included is an inventory list of activities that might lead to the release of microbiological or chemical contaminants within the delineated area. The California Drinking Water Source Assessment and Protection (DWSAP) Program document, (http://www.cdph.ca.gov/certlic/drinkingwater/documents/DWSAPGuidance/DWSAP_document.pdf) describes procedures for conducting drinking water source assessments. It conveys the goals and objectives that CDPH seeks to accomplish with the DWSAP program, along with methods that are technically appropriate and easily understood."
CDL,02572-metadata.xml,/metadata/idinfo/timeperd/timeinfo/sngdate/caldate,"20020402"
CDL,02572-metadata.xml,/metadata/idinfo/timeperd/current,"publication date"
CDL,02572-metadata.xml,/metadata/idinfo/status/progress,"Complete"
CDL,02572-metadata.xml,/metadata/idinfo/status/update,"As needed"
CDL,02572-metadata.xml,/metadata/idinfo/spdom/bounding/westbc,"-122.234359741211"
CDL,02572-metadata.xml,/metadata/idinfo/spdom/bounding/eastbc,"-122.21541595459"
CDL,02572-metadata.xml,/metadata/idinfo/spdom/bounding/northbc,"39.7696495056152"
CDL,02572-metadata.xml,/metadata/idinfo/spdom/bounding/southbc,"39.7547340393066"
CDL,02572-metadata.xml,/metadata/idinfo/keywords/theme/themekt,"ISO 19115 Topic Category"
CDL,02572-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"drinking water"
CDL,02572-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"health"
CDL,02572-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"contaminants"
CDL,02572-metadata.xml,/metadata/idinfo/keywords/place/placekey,"California"
CDL,02572-metadata.xml,/metadata/idinfo/keywords/place/placekey,"Glenn County"
CDL,02572-metadata.xml,/metadata/idinfo/keywords/place/placekey,"Orland"
CDL,02572-metadata.xml,/metadata/idinfo/accconst,"None"
CDL,02572-metadata.xml,/metadata/idinfo/useconst,"None"
CDL,02572-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntorgp/cntorg,"California Department of Public Health, CDPH"
CDL,02572-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntorgp/cntper,"Leah Godsey Walker, P.E. - Chief, Division of Drinking Water and Environmental Management"
CDL,02572-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/addrtype,"mailing"
CDL,02572-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/address,"1615 Capitol Avenue"
CDL,02572-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/city,"Sacramento"
CDL,02572-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/state,"CA"
CDL,02572-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/postal,"95815-5015"
CDL,02572-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/country,"USA"
CDL,02572-metadata.xml,/metadata/spdoinfo/indspref,"Public Land Survey System - California M22.0N03.0W17"
CDL,02572-metadata.xml,/metadata/spref/horizsys/geograph/latres,"8.9831528411952133e-009"
CDL,02572-metadata.xml,/metadata/spref/horizsys/geograph/longres,"8.9831528411952133e-009"
CDL,02572-metadata.xml,/metadata/spref/horizsys/geograph/geogunit,"Decimal Degree"
CDL,02572-metadata.xml,/metadata/spref/horizsys/geodetic/horizdn,"D WGS 1984"
CDL,02572-metadata.xml,/metadata/spref/horizsys/geodetic/ellips,"WGS 1984"
CDL,02572-metadata.xml,/metadata/spref/horizsys/geodetic/semiaxis,"6378137.0"
CDL,02572-metadata.xml,/metadata/spref/horizsys/geodetic/denflat,"298.257223563"
CDL,02572-metadata.xml,/metadata/metainfo/metd,"20120323"
CDL,02572-metadata.xml,/metadata/metainfo/metc/cntinfo/cntorgp/cntorg,"Information Center for the Environment http://ice.ucdavis.edu"
CDL,02572-metadata.xml,/metadata/metainfo/metc/cntinfo/cntorgp/cntper,"Rob Coman"
CDL,02572-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/addrtype,"mailing"
CDL,02572-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/address,"University of California, Davis"
CDL,02572-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/address,"One Shields Avenue"
CDL,02572-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/city,"Davis"
CDL,02572-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/state,"CA"
CDL,02572-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/postal,"95616"
CDL,02572-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/country,"USA"
CDL,02572-metadata.xml,/metadata/metainfo/metstdn,"FGDC Content Standard for Digital Geospatial Metadata"
CDL,02572-metadata.xml,/metadata/metainfo/metstdv,"FGDC-STD-001-1998"
CDL,02527-metadata.xml,/metadata/idinfo/citation/citeinfo/origin,"City of Big Bear Lake, DWP"
CDL,02527-metadata.xml,/metadata/idinfo/citation/citeinfo/pubdate,"20020409"
CDL,02527-metadata.xml,/metadata/idinfo/citation/citeinfo/title,"DWSAP Assessment for 3610044-045: DWP - BIG BEAR LAKE/MOONRIDGE / SLANT WELL 19 (HORIZONTAL)"
CDL,02527-metadata.xml,/metadata/idinfo/citation/citeinfo/pubinfo/pubplace,"Sacramento, CA"
CDL,02527-metadata.xml,/metadata/idinfo/citation/citeinfo/pubinfo/publish,"California Department of Public Health"
CDL,02527-metadata.xml,/metadata/idinfo/citation/citeinfo/onlink,"http://www.cdph.ca.gov/certlic/drinkingwater/Pages/DWSAP.aspx"
CDL,02527-metadata.xml,/metadata/idinfo/descript/abstract,"A source water assessment identifies the vulnerability of the drinking water supply to contamination from typical human activities. The assessments are intended to facilitate and provide the basic information necessary for a local community to develop a program to protect the drinking water supply."
CDL,02527-metadata.xml,/metadata/idinfo/descript/purpose,"An assessment includes a delineation of an area around a drinking water source through which contaminants might move and reach that drinking water supply. Included is an inventory list of activities that might lead to the release of microbiological or chemical contaminants within the delineated area. The California Drinking Water Source Assessment and Protection (DWSAP) Program document, (http://www.cdph.ca.gov/certlic/drinkingwater/documents/DWSAPGuidance/DWSAP_document.pdf) describes procedures for conducting drinking water source assessments. It conveys the goals and objectives that CDPH seeks to accomplish with the DWSAP program, along with methods that are technically appropriate and easily understood."
CDL,02527-metadata.xml,/metadata/idinfo/timeperd/timeinfo/sngdate/caldate,"20020409"
CDL,02527-metadata.xml,/metadata/idinfo/timeperd/current,"publication date"
CDL,02527-metadata.xml,/metadata/idinfo/status/progress,"Complete"
CDL,02527-metadata.xml,/metadata/idinfo/status/update,"As needed"
CDL,02527-metadata.xml,/metadata/idinfo/keywords/theme/themekt,"ISO 19115 Topic Category"
CDL,02527-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"drinking water"
CDL,02527-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"health"
CDL,02527-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"contaminants"
CDL,02527-metadata.xml,/metadata/idinfo/keywords/place/placekey,"California"
CDL,02527-metadata.xml,/metadata/idinfo/keywords/place/placekey,"San Bernardino County"
CDL,02527-metadata.xml,/metadata/idinfo/keywords/place/placekey,"Big Bear Lake"
CDL,02527-metadata.xml,/metadata/idinfo/accconst,"None"
CDL,02527-metadata.xml,/metadata/idinfo/useconst,"None"
CDL,02527-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntorgp/cntorg,"California Department of Public Health, CDPH"
CDL,02527-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntorgp/cntper,"Leah Godsey Walker, P.E. - Chief, Division of Drinking Water and Environmental Management"
CDL,02527-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/addrtype,"mailing"
CDL,02527-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/address,"1615 Capitol Avenue"
CDL,02527-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/city,"Sacramento"
CDL,02527-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/state,"CA"
CDL,02527-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/postal,"95815-5015"
CDL,02527-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/country,"USA"
CDL,02527-metadata.xml,/metadata/metainfo/metd,"20120323"
CDL,02527-metadata.xml,/metadata/metainfo/metc/cntinfo/cntorgp/cntorg,"Information Center for the Environment http://ice.ucdavis.edu"
CDL,02527-metadata.xml,/metadata/metainfo/metc/cntinfo/cntorgp/cntper,"Rob Coman"
CDL,02527-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/addrtype,"mailing"
CDL,02527-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/address,"University of California, Davis"
CDL,02527-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/address,"One Shields Avenue"
CDL,02527-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/city,"Davis"
CDL,02527-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/state,"CA"
CDL,02527-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/postal,"95616"
CDL,02527-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/country,"USA"
CDL,02527-metadata.xml,/metadata/metainfo/metstdn,"FGDC Content Standard for Digital Geospatial Metadata"
CDL,02527-metadata.xml,/metadata/metainfo/metstdv,"FGDC-STD-001-1998"
CDL,02567-metadata.xml,/metadata/idinfo/citation/citeinfo/origin,"Calaveras County"
CDL,02567-metadata.xml,/metadata/idinfo/citation/citeinfo/pubdate,"20020403"
CDL,02567-metadata.xml,/metadata/idinfo/citation/citeinfo/title,"DWSAP Assessment for 0500037-003: TAMARACK LODGE AT BEAR VALLEY / WELL 03 - PRODUCTION WELL"
CDL,02567-metadata.xml,/metadata/idinfo/citation/citeinfo/pubinfo/pubplace,"Sacramento, CA"
CDL,02567-metadata.xml,/metadata/idinfo/citation/citeinfo/pubinfo/publish,"California Department of Public Health"
CDL,02567-metadata.xml,/metadata/idinfo/citation/citeinfo/onlink,"http://www.cdph.ca.gov/certlic/drinkingwater/Pages/DWSAP.aspx"
CDL,02567-metadata.xml,/metadata/idinfo/descript/abstract,"A source water assessment identifies the vulnerability of the drinking water supply to contamination from typical human activities. The assessments are intended to facilitate and provide the basic information necessary for a local community to develop a program to protect the drinking water supply."
CDL,02567-metadata.xml,/metadata/idinfo/descript/purpose,"An assessment includes a delineation of an area around a drinking water source through which contaminants might move and reach that drinking water supply. Included is an inventory list of activities that might lead to the release of microbiological or chemical contaminants within the delineated area. The California Drinking Water Source Assessment and Protection (DWSAP) Program document, (http://www.cdph.ca.gov/certlic/drinkingwater/documents/DWSAPGuidance/DWSAP_document.pdf) describes procedures for conducting drinking water source assessments. It conveys the goals and objectives that CDPH seeks to accomplish with the DWSAP program, along with methods that are technically appropriate and easily understood."
CDL,02567-metadata.xml,/metadata/idinfo/timeperd/timeinfo/sngdate/caldate,"20020403"
CDL,02567-metadata.xml,/metadata/idinfo/timeperd/current,"publication date"
CDL,02567-metadata.xml,/metadata/idinfo/status/progress,"Complete"
CDL,02567-metadata.xml,/metadata/idinfo/status/update,"As needed"
CDL,02567-metadata.xml,/metadata/idinfo/spdom/bounding/westbc,"-120.084098815918"
CDL,02567-metadata.xml,/metadata/idinfo/spdom/bounding/eastbc,"-120.065322875977"
CDL,02567-metadata.xml,/metadata/idinfo/spdom/bounding/northbc,"38.4521102905273"
CDL,02567-metadata.xml,/metadata/idinfo/spdom/bounding/southbc,"38.4368667602539"
CDL,02567-metadata.xml,/metadata/idinfo/keywords/theme/themekt,"ISO 19115 Topic Category"
CDL,02567-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"drinking water"
CDL,02567-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"health"
CDL,02567-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"contaminants"
CDL,02567-metadata.xml,/metadata/idinfo/keywords/place/placekey,"California"
CDL,02567-metadata.xml,/metadata/idinfo/keywords/place/placekey,"Calaveras County"
CDL,02567-metadata.xml,/metadata/idinfo/keywords/place/placekey,"Bear Valley"
CDL,02567-metadata.xml,/metadata/idinfo/accconst,"None"
CDL,02567-metadata.xml,/metadata/idinfo/useconst,"None"
CDL,02567-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntorgp/cntorg,"California Department of Public Health, CDPH"
CDL,02567-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntorgp/cntper,"Leah Godsey Walker, P.E. - Chief, Division of Drinking Water and Environmental Management"
CDL,02567-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/addrtype,"mailing"
CDL,02567-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/address,"1615 Capitol Avenue"
CDL,02567-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/city,"Sacramento"
CDL,02567-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/state,"CA"
CDL,02567-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/postal,"95815-5015"
CDL,02567-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntaddr/country,"USA"
CDL,02567-metadata.xml,/metadata/spdoinfo/indspref,"Public Land Survey System - California M07.0N17.0E23"
CDL,02567-metadata.xml,/metadata/spref/horizsys/geograph/latres,"8.9831528411952133e-009"
CDL,02567-metadata.xml,/metadata/spref/horizsys/geograph/longres,"8.9831528411952133e-009"
CDL,02567-metadata.xml,/metadata/spref/horizsys/geograph/geogunit,"Decimal Degree"
CDL,02567-metadata.xml,/metadata/spref/horizsys/geodetic/horizdn,"D WGS 1984"
CDL,02567-metadata.xml,/metadata/spref/horizsys/geodetic/ellips,"WGS 1984"
CDL,02567-metadata.xml,/metadata/spref/horizsys/geodetic/semiaxis,"6378137.0"
CDL,02567-metadata.xml,/metadata/spref/horizsys/geodetic/denflat,"298.257223563"
CDL,02567-metadata.xml,/metadata/metainfo/metd,"20120323"
CDL,02567-metadata.xml,/metadata/metainfo/metc/cntinfo/cntorgp/cntorg,"Information Center for the Environment http://ice.ucdavis.edu"
CDL,02567-metadata.xml,/metadata/metainfo/metc/cntinfo/cntorgp/cntper,"Rob Coman"
CDL,02567-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/addrtype,"mailing"
CDL,02567-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/address,"University of California, Davis"
CDL,02567-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/address,"One Shields Avenue"
CDL,02567-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/city,"Davis"
CDL,02567-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/state,"CA"
CDL,02567-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/postal,"95616"
CDL,02567-metadata.xml,/metadata/metainfo/metc/cntinfo/cntaddr/country,"USA"
CDL,02567-metadata.xml,/metadata/metainfo/metstdn,"FGDC Content Standard for Digital Geospatial Metadata"
CDL,02567-metadata.xml,/metadata/metainfo/metstdv,"FGDC-STD-001-1998"
CDL,02532-metadata.xml,/metadata/idinfo/citation/citeinfo/origin,"Cal Water Service"
CDL,02532-metadata.xml,/metadata/idinfo/citation/citeinfo/pubdate,"20020313"
CDL,02532-metadata.xml,/metadata/idinfo/citation/citeinfo/title,"DWSAP Assessment for 0410002-045: CAL-WATER SERVICE CO.-CHICO / WELL 46-01"
CDL,02532-metadata.xml,/metadata/idinfo/citation/citeinfo/pubinfo/pubplace,"Sacramento, CA"
